0.229	0.333	0.208	0.042	0.083	0.042	0.042	0.021	0	0
0.167	0.319	0.194	0.139	0.097	0.028	0.042	0	0.014	0
0.25	0.25	0.091	0.136	0.091	0.046	0.046	0.023	0.068	0
0.158	0.237	0.158	0.263	0.026	0.053	0.079	0.026	0	0
0.211	0.053	0.211	0.158	0.053	0.053	0.158	0.105	0	0
0.125	0.125	0.25	0.188	0.063	0.125	0	0.125	0	0
0.04	0.24	0.08	0.12	0.08	0.08	0.12	0.12	0.08	0.04
0	0.25	0	0.125	0	0.125	0.125	0.25	0.063	0.063
0	0.25	0	0.125	0.25	0	0.25	0	0	0.125
0	0	0	0	0	0	0.5	0.25	0	0.25
0	0	0.091	0	0.364	0.091	0.182	0	0.273	0
0.118	0.118	0.176	0.118	0.059	0.118	0.176	0.059	0.059	0
0.067	0.267	0.067	0.2	0.067	0	0.133	0.133	0	0.067
0.118	0.235	0	0.235	0.059	0.176	0.118	0	0.059	0
0.077	0.154	0.308	0.077	0.154	0.077	0	0.077	0.077	0
0.083	0	0.167	0.25	0.083	0.167	0	0.083	0.167	0
0.222	0.222	0	0.111	0.111	0	0.111	0.222	0	0
0.091	0.182	0.273	0	0.091	0.273	0	0.091	0	0
0.111	0.111	0.111	0.222	0	0	0	0.222	0.111	0.111
0	0	0	0	0	0	0.5	0	0	0.5
0.206	0.088	0.176	0.176	0.088	0.029	0.176	0.029	0.029	0
0.12	0.1	0.14	0.16	0.12	0.22	0.1	0	0.02	0.02
0.077	0.123	0.185	0.123	0.077	0.139	0.092	0.123	0.061	0
0.048	0.111	0.095	0.206	0.206	0.19	0.095	0.048	0	0
0.059	0.137	0.118	0.137	0.098	0.118	0.118	0.157	0.059	0
0.014	0.097	0.139	0.153	0.125	0.139	0.208	0.056	0.042	0.028
0.073	0.101	0.116	0.145	0.087	0.159	0.203	0.087	0.029	0
0.019	0.037	0.111	0.056	0.074	0.111	0.185	0.296	0.074	0.037
0.035	0.069	0.035	0	0.035	0.103	0.172	0.138	0.379	0.035
0	0.167	0.167	0	0.167	0	0	0.333	0	0.167
0.167	0.167	0.167	0	0.083	0.125	0	0.167	0.125	0
0.117	0.117	0.15	0.117	0.083	0.117	0.2	0.067	0.017	0.017
0.049	0.085	0.134	0.158	0.098	0.11	0.134	0.134	0.061	0.037
0.039	0.09	0.141	0.141	0.167	0.141	0.09	0.141	0.039	0.013
0.009	0.139	0.074	0.093	0.194	0.139	0.167	0.093	0.074	0.019
0.036	0.018	0.117	0.099	0.144	0.18	0.18	0.117	0.072	0.036
0	0.046	0.061	0.061	0.136	0.159	0.273	0.167	0.098	0
0.016	0.056	0.08	0.128	0.104	0.08	0.16	0.208	0.136	0.032
0.011	0.053	0.021	0.043	0.128	0.096	0.074	0.223	0.277	0.074
0	0.074	0.037	0	0.074	0.074	0.074	0.074	0.333	0.259
0.12	0.2	0.16	0.12	0.12	0.12	0.08	0	0.04	0.04
0.1	0.08	0.12	0.14	0.14	0.2	0.18	0.04	0	0
0.046	0.114	0.068	0.171	0.125	0.171	0.08	0.159	0.057	0.011
0.015	0.061	0.084	0.099	0.191	0.153	0.153	0.115	0.115	0.015
